Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
73, SUN_EXPOSURE, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
74, SUN_EXPOSURE, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
75, SUN_EXPOSURE, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
76, SUN_EXPOSURE, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
77, SUN_EXPOSURE, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
78, SUN_EXPOSURE, 5.0, -2.0, 5.0, 5.0, 1, 0, 1, 1
79, SUN_EXPOSURE, 4.0, -3.0, 4.0, 4.0, 0, 0, 0, 0
80, SUN_EXPOSURE, 3.0, 4.0, 3.0, 3.0, 0, 1, 0, 0
81, SUN_EXPOSURE, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
82, SUN_EXPOSURE, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
83, SUN_EXPOSURE, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
84, SUN_EXPOSURE, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
85, SUN_EXPOSURE, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
86, SUN_EXPOSURE, -3.0, -2.0, -3.0, -3.0, 0, 0, 0, 0
87, SUN_EXPOSURE, 4.0, -3.0, 4.0, 4.0, 1, 0, 1, 1
88, SUN_EXPOSURE, 3.0, 4.0, 3.0, 3.0, 0, 1, 0, 0
89, SUN_EXPOSURE, 2.0, 3.0, 2.0, 2.0, 0, 0, 0, 0
90, SUN_EXPOSURE, 1.0, 2.0, 1.0, 1.0, 0, 0, 0, 0
91, SUN_EXPOSURE, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0
92, SUN_EXPOSURE, -1.0, 0.0, -1.0, -1.0, 0, 0, 0, 0
93, SUN_EXPOSURE, -2.0, -1.0, -2.0, -2.0, 0, 0, 0, 0
94, SUN_EXPOSURE, -3.0, -2.0, -3.0, -3.0, 0, 0, 0, 0
95, SUN_EXPOSURE, 4.0, -3.0, 4.0, 4.0, 1, 0, 1, 1
96, NORMAL, 3.0, -2.0, 3.0, 3.0, 0, 1, 0, 0
97, NORMAL, 2.0, -3.0, 2.0, 2.0, 0, 0, 0, 0
98, NORMAL, 1.0, -2.0, 1.0, 1.0, 0, 1, 0, 0
99, NORMAL, 0.0, -3.0, 0.0, 0.0, 0, 0, 0, 0
100, NORMAL, -1.0, -2.0, -1.0, -1.0, 0, 1, 0, 0
101, NORMAL, -2.0, -1.0, -2.0, -2.0, 0, 1, 0, 0
102, NORMAL, -3.0, -2.0, -3.0, -3.0, 0, 0, 0, 0
103, NORMAL, -4.0, -1.0, -4.0, -4.0, 0, 1, 0, 0
104, NORMAL, -3.0, -2.0, -3.0, -3.0, 1, 0, 1, 1
